timestep,id,x,y,angle,speed,type
43.00,bike11.5,11.566272,48.134393,335.264246,5.076940,bicycle
43.00,bike11.6,11.566388,48.134208,335.264246,2.529385,bicycle
43.00,bike11.7,11.566440,48.134125,335.264246,0.445419,bicycle
44.00,bike11.0,11.565307,48.135962,337.592309,5.902110,bicycle
44.00,bike11.1,11.565490,48.135636,336.744732,5.991973,bicycle
44.00,bike11.2,11.565683,48.135319,334.573564,5.844830,bicycle
44.00,bike11.3,11.565865,48.135039,335.249205,5.797405,bicycle
44.00,bike11.4,11.566063,48.134724,335.264246,5.750164,bicycle
44.00,bike11.5,11.566243,48.134438,335.264246,5.394015,bicycle
44.00,bike11.6,11.566372,48.134233,335.264246,2.955072,bicycle
44.00,bike11.7,11.566436,48.134132,335.264246,0.853193,bicycle
44.00,pint05,11.568260,48.140172,311.277623,8.330000,passenger
45.00,bike11.0,11.565293,48.136013,352.216129,5.765664,bicycle
45.00,bike11.1,11.565462,48.135684,336.744732,5.786324,bicycle
45.00,bike11.2,11.565651,48.135368,334.573564,5.945048,bicycle
45.00,bike11.3,11.565833,48.135088,334.593142,5.984641,bicycle
45.00,bike11.4,11.566033,48.134772,335.264246,5.842227,bicycle
45.00,bike11.5,11.566213,48.134486,335.264246,5.892093,bicycle
45.00,bike11.6,11.566355,48.134260,335.264246,3.307468,bicycle
45.00,bike11.7,11.566429,48.134143,335.264246,1.258330,bicycle
45.00,pint05,11.568173,48.140219,305.073754,8.330000,passenger
46.00,bike11.0,11.565285,48.136065,352.216129,5.780351,bicycle
46.00,bike11.1,11.565434,48.135734,337.613271,5.947721,bicycle
46.00,bike11.2,11.565620,48.135417,334.573564,5.856480,bicycle
46.00,bike11.3,11.565802,48.135137,334.593142,5.901406,bicycle
46.00,bike11.4,11.566003,48.134821,335.264246,5.829899,bicycle
46.00,bike11.5,11.566182,48.134535,335.264246,5.847512,bicycle
46.00,bike11.6,11.566336,48.134291,335.264246,3.707208,bicycle
46.00,bike11.7,11.566420,48.134157,335.264246,1.737346,bicycle
46.00,pint05,11.568088,48.140268,311.150457,8.330000,passenger
47.00,bike11.0,11.565277,48.136116,352.216129,5.786906,bicycle
47.00,bike11.1,11.565407,48.135783,337.613271,5.757798,bicycle
47.00,bike11.2,11.565590,48.135465,336.744732,5.773502,bicycle
47.00,bike11.3,11.565771,48.135185,334.593142,5.792656,bicycle
47.00,bike11.4,11.565972,48.134870,335.264246,5.940872,bicycle
47.00,bike11.5,11.566152,48.134583,335.264246,5.818494,bicycle
47.00,bike11.6,11.566314,48.134325,335.264246,4.096653,bicycle
47.00,bike11.7,11.566409,48.134175,335.264246,2.128367,bicycle
47.00,pint05,11.568011,48.140322,316.325740,8.330000,passenger
48.00,bike11.0,11.565269,48.136168,352.216129,5.806742,bicycle
48.00,bike11.1,11.565380,48.135831,337.613271,5.796839,bicycle
48.00,bike11.2,11.565562,48.135513,336.744732,5.818947,bicycle
48.00,bike11.3,11.565739,48.135234,334.593142,5.970114,bicycle
48.00,bike11.4,11.565942,48.134918,335.264246,5.773674,bicycle
48.00,bike11.5,11.566121,48.134632,335.264246,5.952277,bicycle
48.00,bike11.6,11.566291,48.134361,335.264246,4.405092,bicycle
48.00,bike11.7,11.566395,48.134196,335.264246,2.604509,bicycle
48.00,bike11.8,11.566442,48.134121,335.264246,0.000000,bicycle
48.00,pint05,11.567940,48.140380,318.640429,8.320000,passenger
49.00,bike11.0,11.565262,48.136221,353.377534,5.842676,bicycle
49.00,bike11.1,11.565352,48.135880,337.613271,5.782540,bicycle
49.00,bike11.2,11.565533,48.135562,336.744732,5.824898,bicycle
49.00,bike11.3,11.565707,48.135283,334.593142,5.941783,bicycle
49.00,bike11.4,11.565911,48.134967,335.264246,5.956770,bicycle
49.00,bike11.5,11.566090,48.134682,335.264246,5.919046,bicycle
49.00,bike11.6,11.566267,48.134400,335.264246,4.716611,bicycle
49.00,bike11.7,11.566380,48.134221,335.264246,2.978130,bicycle
49.00,bike11.8,11.566441,48.134124,335.264246,0.266565,bicycle
49.00,pint05,11.567892,48.140428,326.508622,6.480000,passenger
50.00,bike11.0,11.565259,48.136249,354.257717,3.129141,bicycle
50.00,bike11.1,11.565325,48.135929,337.592309,5.802616,bicycle
50.00,bike11.2,11.565504,48.135611,336.744732,5.880378,bicycle
50.00,bike11.3,11.565675,48.135332,334.573564,5.965273,bicycle
50.00,bike11.4,11.565880,48.135015,335.264246,5.786024,bicycle
50.00,bike11.5,11.566060,48.134730,335.264246,5.833251,bicycle
50.00,bike11.6,11.566241,48.134442,335.264246,5.014228,bicycle
50.00,bike11.7,11.566363,48.134248,335.264246,3.246732,bicycle
50.00,bike11.8,11.566437,48.134130,335.264246,0.755034,bicycle
50.00,pint05,11.567921,48.140478,28.053283,6.480000,passenger
51.00,bike11.0,11.565259,48.136250,354.257717,0.129141,bicycle
51.00,bike11.1,11.565299,48.135978,339.380865,5.812339,bicycle
51.00,bike11.2,11.565476,48.135661,336.744732,5.890353,bicycle
51.00,bike11.3,11.565644,48.135380,334.573564,5.755170,bicycle
51.00,bike11.4,11.565850,48.135063,334.593142,5.807728,bicycle
51.00,bike11.5,11.566029,48.134779,335.264246,5.943293,bicycle
